epoch,loss
1,0.9239
2,0.8471
3,0.8045
4,0.7729
5,0.7518
6,0.7393
7,0.7277
8,0.7195
9,0.7083
10,0.6848
11,0.6431
12,0.6093
13,0.5925
14,0.5835
15,0.5785
16,0.5712
17,0.5688
18,0.5667
19,0.5628
20,0.5611
21,0.5605
22,0.5592
23,0.5573
24,0.5564
25,0.5551
26,0.5538
27,0.5524
28,0.5529
29,0.5519
30,0.5515
31,0.5501
32,0.5499
33,0.5499
34,0.5490
35,0.5483
36,0.5483
37,0.5475
38,0.5472
39,0.5466
40,0.5467
41,0.5463
42,0.5457
43,0.5455
44,0.5454
45,0.5449
46,0.5449
47,0.5456
48,0.5445
49,0.5449
50,0.5438
51,0.5433
52,0.5428
53,0.5433
54,0.5428
55,0.5426
56,0.5427
57,0.5425
58,0.5419
59,0.5417
60,0.5430
61,0.5416
62,0.5410
63,0.5410
64,0.5399
65,0.5048
66,0.4610
67,0.4275
68,0.4155
69,0.4067
70,0.4078
71,0.4186
72,0.4036
73,0.3947
74,0.3877
75,0.3996
76,0.3897
77,0.4031
78,0.4113
79,0.4109
80,0.3929
81,0.4036
82,0.4169
83,0.3943
84,0.3879
85,0.3909
86,0.3823
87,0.4288
88,0.4076
89,0.3880
90,0.3949
91,0.3864
92,0.4049
93,0.4212
94,0.4036
95,0.4211
96,0.3940
97,0.3894
98,0.4034
99,0.3885
100,0.3833
101,0.3921
102,0.3934
103,0.3843
104,0.4031
105,0.3966
106,0.4073
107,0.3987
108,0.4023
109,0.3850
110,0.3815
111,0.3921
112,0.3912
113,0.3910
114,0.3864
115,0.3806
116,0.3816
117,0.3794
118,0.3912
119,0.3942
120,0.3864
121,0.4010
122,0.3939
123,0.3877
124,0.3897
125,0.3804
126,0.3810
127,0.3823
128,0.3843
129,0.3837
130,0.3907
131,0.3952
132,0.4073
133,0.3940
134,0.3933
135,0.3854
136,0.3805
137,0.3794
138,0.3763
139,0.3771
140,0.3746
141,0.3751
142,0.3777
143,0.3792
144,0.3886
145,0.3819
146,0.3807
147,0.3825
148,0.3804
149,0.3816
150,0.3924
151,0.4018
152,0.3940
153,0.3897
154,0.3923
155,0.4121
156,0.4180
157,0.3943
158,0.3854
159,0.3821
160,0.3811
161,0.3716
162,0.3197
163,0.3143
164,0.3250
165,0.3109
166,0.3069
167,0.3060
168,0.3031
169,0.2994
170,0.2984
171,0.2974
172,0.3023
173,0.3055
174,0.3055
175,0.3105
176,0.3074
177,0.3263
178,0.3133
179,0.3103
180,0.3060
181,0.3017
182,0.3025
183,0.3015
184,0.3029
185,0.2991
186,0.2993
187,0.3005
188,0.3012
189,0.3402
190,0.3112
191,0.3107
192,0.3077
193,0.3050
194,0.2996
