epoch,loss
1,0.9617
2,0.8313
3,0.7741
4,0.7422
5,0.7130
6,0.6470
7,0.6214
8,0.6097
9,0.6003
10,0.5921
11,0.5855
12,0.5803
13,0.5770
14,0.5741
15,0.5720
16,0.5702
17,0.5687
18,0.5672
19,0.5655
20,0.5647
21,0.5640
22,0.5632
23,0.5621
24,0.5612
25,0.5603
26,0.5607
27,0.5594
28,0.5589
29,0.5580
30,0.5575
31,0.5573
32,0.5569
33,0.5563
34,0.5559
35,0.5556
36,0.5548
37,0.5550
38,0.5544
39,0.5539
40,0.5538
41,0.5530
42,0.5530
43,0.5527
44,0.5524
45,0.5522
46,0.5523
47,0.5516
48,0.5511
49,0.5511
50,0.5506
51,0.4445
52,0.3373
53,0.2787
54,0.2419
55,0.2075
56,0.1784
57,0.1583
58,0.1230
59,0.0847
60,0.0664
61,0.0605
62,0.0604
63,0.0600
64,0.0565
65,0.0552
66,0.0547
67,0.0528
68,0.0521
69,0.0511
70,0.0504
71,0.0486
72,0.0488
73,0.0500
74,0.0478
75,0.0476
76,0.0491
77,0.0498
78,0.0480
79,0.0457
80,0.0459
81,0.0467
82,0.0459
83,0.0449
84,0.0460
85,0.0438
86,0.0433
87,0.0443
88,0.0426
89,0.0421
90,0.0434
91,0.0420
92,0.0423
93,0.0417
94,0.0402
95,0.0400
96,0.0398
97,0.0405
98,0.0403
99,0.0404
100,0.0396
101,0.0390
102,0.0389
103,0.0386
104,0.0383
105,0.0378
106,0.0379
107,0.0379
108,0.0376
109,0.0379
110,0.0371
111,0.0374
112,0.0371
113,0.0371
114,0.0368
115,0.0368
116,0.0365
117,0.0363
118,0.0358
119,0.0359
120,0.0363
121,0.0355
122,0.0352
123,0.0352
124,0.0351
125,0.0350
126,0.0351
127,0.0348
128,0.0344
129,0.0347
130,0.0345
131,0.0348
132,0.0342
133,0.0343
134,0.0347
135,0.0340
136,0.0340
137,0.0343
138,0.0341
139,0.0345
140,0.0343
141,0.0341
142,0.0340
143,0.0340
144,0.0342
145,0.0339
146,0.0338
147,0.0338
148,0.0339
149,0.0335
150,0.0336
