epoch,loss
276,0.0526
277,0.0547
278,0.0531
279,0.0522
280,0.0566
281,0.0531
282,0.0543
283,0.0513
284,0.0517
285,0.0527
286,0.0522
287,0.0507
288,0.0550
289,0.0534
290,0.0503
291,0.0505
292,0.0518
293,0.0534
294,0.0500
295,0.0507
296,0.0499
297,0.0520
298,0.0501
299,0.0496
300,0.0492
301,0.0513
302,0.0493
303,0.0499
304,0.0502
305,0.0488
306,0.0488
307,0.0509
308,0.0487
309,0.0483
310,0.0480
311,0.0493
312,0.0498
313,0.0481
314,0.0465
315,0.0469
316,0.0478
317,0.0484
318,0.0458
319,0.0483
320,0.0466
321,0.0481
322,0.0457
323,0.0464
324,0.0465
325,0.0474
326,0.0464
327,0.0457
328,0.0496
329,0.0477
330,0.0468
331,0.0450
332,0.0450
333,0.0457
334,0.0460
335,0.0456
336,0.0450
337,0.0472
338,0.0463
339,0.0445
340,0.0443
341,0.0441
342,0.0451
343,0.0432
344,0.0462
345,0.0444
346,0.0444
347,0.0451
348,0.0440
349,0.0437
350,0.0440
351,0.0430
352,0.0425
353,0.0432
354,0.0427
355,0.0423
356,0.0428
357,0.0434
358,0.0429
359,0.0431
360,0.0431
361,0.0420
362,0.0422
363,0.0420
364,0.0419
365,0.0413
366,0.0420
367,0.0419
368,0.0415
369,0.0427
370,0.0415
371,0.0424
372,0.0425
373,0.0408
374,0.0422
375,0.0406
376,0.0414
377,0.0402
378,0.0402
379,0.0414
380,0.0407
381,0.0406
382,0.0413
383,0.0405
384,0.0403
385,0.0403
386,0.0397
387,0.0407
388,0.0401
389,0.0399
390,0.0396
391,0.0392
392,0.0409
393,0.0393
394,0.0400
395,0.0394
396,0.0398
397,0.0392
398,0.0396
399,0.0391
400,0.0390
401,0.0386
402,0.0388
403,0.0385
404,0.0386
405,0.0384
406,0.0390
407,0.0387
408,0.0381
409,0.0391
410,0.0386
411,0.0383
412,0.0380
413,0.0383
414,0.0382
415,0.0381
416,0.0380
417,0.0380
418,0.0380
419,0.0386
420,0.0378
421,0.0377
422,0.0378
423,0.0375
424,0.0373
425,0.0372
426,0.0376
427,0.0374
428,0.0373
429,0.0374
430,0.0373
431,0.0377
432,0.0374
433,0.0371
434,0.0370
435,0.0374
436,0.0373
437,0.0368
438,0.0370
439,0.0367
440,0.0367
441,0.0366
442,0.0366
443,0.0368
444,0.0366
445,0.0366
446,0.0369
447,0.0365
448,0.0364
449,0.0366
450,0.0367
451,0.0366
452,0.0363
453,0.0367
454,0.0365
455,0.0363
456,0.0362
457,0.0365
458,0.0363
459,0.0361
460,0.0366
461,0.0363
462,0.0362
463,0.0362
464,0.0359
465,0.0362
466,0.0362
467,0.0362
468,0.0361
469,0.0363
470,0.0361
471,0.0363
472,0.0363
473,0.0359
474,0.0362
475,0.0359
476,0.0360
477,0.0361
478,0.0357
479,0.0360
480,0.0360
481,0.0363
482,0.0362
483,0.0358
484,0.0361
485,0.0360
486,0.0361
487,0.0360
488,0.0361
489,0.0362
490,0.0359
491,0.0359
492,0.0360
493,0.0359
494,0.0362
495,0.0358
496,0.0356
497,0.0359
498,0.0362
499,0.0361
500,0.0359
